"code"	"name"	"estimated_value"	"estimated_growth_rate"	"today_net_unit_value"	"today_daily_growth_rate"	"estimation_bias"	"yesterday_net_unit_value"	"is_buy"
"519034"	"海富通中证内地低碳指数"	"1.3029"	"1.55%"	"---"	"---"	"---"	"1.2830"	"1"
"519097"	"新华中小市值优选混合"	"1.7995"	"1.55%"	"---"	"---"	"---"	"1.7720"	"1"
"163818"	"中银中小盘成长混合"	"1.5110"	"1.55%"	"---"	"---"	"---"	"1.4880"	"1"
"610004"	"信达澳银中小盘混合"	"1.7335"	"1.55%"	"---"	"---"	"---"	"1.7070"	"1"
"161605"	"融通蓝筹成长混合"	"1.3557"	"1.55%"	"---"	"---"	"---"	"1.3350"	"1"
"161031"	"富国中证工业4.0指数分级"	"1.4532"	"1.55%"	"---"	"---"	"---"	"1.4310"	"1"
"519688"	"交银精选混合"	"0.8052"	"1.55%"	"---"	"---"	"---"	"0.7929"	"1"
"002824"	"招商盛达混合C"	"1.2206"	"1.55%"	"---"	"---"	"---"	"1.2020"	"1"
"005776"	"中加转型动力混合C"	"1.3046"	"1.55%"	"---"	"---"	"---"	"1.2846"	"1"
"006533"	"易方达科融混合"	"1.1995"	"1.55%"	"---"	"---"	"---"	"1.1812"	"0"
"006269"	"永赢智能领先混合C"	"1.2399"	"1.55%"	"---"	"---"	"---"	"1.2210"	"1"
"007046"	"方正富邦创新动力混合C"	"1.2353"	"1.55%"	"---"	"---"	"---"	"1.2165"	"1"
"006266"	"永赢智能领先混合A"	"1.2432"	"1.55%"	"---"	"---"	"---"	"1.2242"	"1"
"007163"	"浦银安盛环保新能源A"	"1.0615"	"1.55%"	"---"	"---"	"---"	"1.0453"	"1"
"007164"	"浦银安盛环保新能源C"	"1.0573"	"1.55%"	"---"	"---"	"---"	"1.0412"	"1"
"007349"	"华夏科技创新混合A"	"1.2953"	"1.55%"	"---"	"---"	"---"	"1.2756"	"0"
"002555"	"博时沪港深优质企业基金C"	"1.1292"	"1.54%"	"---"	"---"	"---"	"1.1120"	"1"
"161810"	"银华内需精选混合(LOF)"	"2.1688"	"1.54%"	"---"	"---"	"---"	"2.1360"	"1"
"160505"	"博时主题行业混合(LOF)"	"1.5515"	"1.54%"	"---"	"---"	"---"	"1.5280"	"1"
"004677"	"博时战略新兴产业混合"	"1.3718"	"1.54%"	"---"	"---"	"---"	"1.3510"	"1"
"161611"	"融通内需驱动混合"	"1.2773"	"1.54%"	"---"	"---"	"---"	"1.2580"	"1"
"005572"	"中银证券新能源混合C"	"1.0863"	"1.54%"	"---"	"---"	"---"	"1.0698"	"1"
"005571"	"中银证券新能源混合A"	"1.0912"	"1.54%"	"---"	"---"	"---"	"1.0746"	"1"
"007120"	"睿远成长价值混合C"	"1.1931"	"1.54%"	"---"	"---"	"---"	"1.1751"	"0"
"007130"	"中庚小盘价值股票"	"0.9923"	"1.54%"	"---"	"---"	"---"	"0.9773"	"1"
"257010"	"国联安小盘精选混合"	"1.0417"	"1.53%"	"---"	"---"	"---"	"1.0260"	"1"
"519736"	"交银新成长混合"	"2.6378"	"1.53%"	"---"	"---"	"---"	"2.5980"	"1"
"080012"	"长盛电子信息产业混合"	"1.6214"	"1.53%"	"---"	"---"	"---"	"1.5970"	"1"
"001071"	"华安媒体互联网混合"	"1.9392"	"1.53%"	"---"	"---"	"---"	"1.9100"	"1"
"003069"	"光大保德信量化优选股票"	"0.9783"	"1.53%"	"---"	"---"	"---"	"0.9636"	"1"
"570001"	"诺德价值优势混合"	"1.3901"	"1.53%"	"---"	"---"	"---"	"1.3692"	"1"
"006209"	"中信保诚新蓝筹混合"	"1.2724"	"1.53%"	"---"	"---"	"---"	"1.2532"	"1"
"007119"	"睿远成长价值混合A"	"1.1966"	"1.53%"	"---"	"---"	"---"	"1.1785"	"0"
"007346"	"易方达科技创新混合"	"1.2645"	"1.53%"	"---"	"---"	"---"	"1.2454"	"0"
"001009"	"上投摩根安全战略股票"	"1.2436"	"1.52%"	"---"	"---"	"---"	"1.2250"	"1"
"080015"	"长盛中小盘精选混合"	"0.7309"	"1.52%"	"---"	"---"	"---"	"0.7200"	"1"
"519193"	"万家消费成长"	"1.7173"	"1.52%"	"---"	"---"	"---"	"1.6915"	"1"
"121002"	"国投瑞银景气行业混合"	"1.3427"	"1.52%"	"---"	"---"	"---"	"1.3226"	"1"
"005927"	"创金合信新能源汽车股票A"	"1.0906"	"1.52%"	"---"	"---"	"---"	"1.0743"	"1"
"005928"	"创金合信新能源汽车股票C"	"1.0774"	"1.52%"	"---"	"---"	"---"	"1.0613"	"1"
"005894"	"华夏优势精选股票"	"1.3226"	"1.52%"	"---"	"---"	"---"	"1.3028"	"1"
"007685"	"华商电子行业量化股票"	"1.0907"	"1.52%"	"---"	"---"	"---"	"1.0744"	"1"
"000757"	"华富智慧城市灵活配置混合"	"0.9085"	"1.51%"	"---"	"---"	"---"	"0.8950"	"1"
"001215"	"博时沪港深优质企业基金A"	"1.1034"	"1.51%"	"---"	"---"	"---"	"1.0870"	"1"
"001709"	"华富物联世界灵活配置混合"	"1.1207"	"1.51%"	"---"	"---"	"---"	"1.1040"	"1"
"161718"	"招商沪深300高贝塔指数分级"	"0.9866"	"1.51%"	"---"	"---"	"---"	"0.9719"	"0"
"519727"	"交银成长30混合"	"1.6506"	"1.51%"	"---"	"---"	"---"	"1.6260"	"1"
"003886"	"汇安丰利混合A"	"0.9944"	"1.51%"	"---"	"---"	"---"	"0.9796"	"1"
"001471"	"融通新能源灵活配置混合"	"1.3125"	"1.51%"	"---"	"---"	"---"	"1.2930"	"1"
"002289"	"华商改革创新股票"	"1.3139"	"1.51%"	"---"	"---"	"---"	"1.2944"	"1"
"006138"	"国联安价值优选股票"	"1.3002"	"1.51%"	"---"	"---"	"---"	"1.2808"	"1"
"003887"	"汇安丰利混合C"	"0.9770"	"1.51%"	"---"	"---"	"---"	"0.9625"	"1"
"164907"	"交银中证互联网金融指数分级"	"0.8749"	"1.50%"	"---"	"---"	"---"	"0.8620"	"0"
"001156"	"申万菱信新能源汽车混合"	"1.0698"	"1.50%"	"---"	"---"	"---"	"1.0540"	"1"
"001616"	"嘉实环保低碳股票"	"1.5236"	"1.50%"	"---"	"---"	"---"	"1.5010"	"1"
"502036"	"大成中证互联网金融指数分级"	"0.8962"	"1.50%"	"---"	"---"	"---"	"0.8829"	"0"
"519195"	"万家品质"	"1.2611"	"1.50%"	"---"	"---"	"---"	"1.2424"	"1"
"470009"	"汇添富民营活力混合A"	"3.4216"	"1.50%"	"---"	"---"	"---"	"3.3710"	"1"
"005396"	"中金丰硕混合"	"1.0381"	"1.50%"	"---"	"---"	"---"	"1.0228"	"1"
"070001"	"嘉实成长收益混合A"	"1.1895"	"1.49%"	"---"	"---"	"---"	"1.1720"	"1"
"519183"	"万家双引擎灵活配置混合"	"1.5639"	"1.49%"	"---"	"---"	"---"	"1.5410"	"1"
"000390"	"华商优势行业混合"	"1.3376"	"1.49%"	"---"	"---"	"---"	"1.3180"	"1"
"003054"	"嘉实文体娱乐股票C"	"1.2879"	"1.49%"	"---"	"---"	"---"	"1.2690"	"1"
"002564"	"新沃通盈灵活配置混合"	"1.0819"	"1.49%"	"---"	"---"	"---"	"1.0660"	"1"
"003053"	"嘉实文体娱乐股票A"	"1.3052"	"1.49%"	"---"	"---"	"---"	"1.2860"	"1"
"004352"	"北信瑞丰研究精选"	"1.0650"	"1.49%"	"---"	"---"	"---"	"1.0494"	"1"
"001223"	"鹏华文化传媒娱乐股票"	"1.1295"	"1.49%"	"---"	"---"	"---"	"1.1130"	"1"
"004505"	"博时新兴消费主题混合"	"1.6380"	"1.49%"	"---"	"---"	"---"	"1.6140"	"1"
"005629"	"汇安趋势动力股票C"	"1.0660"	"1.49%"	"---"	"---"	"---"	"1.0504"	"1"
"005628"	"汇安趋势动力股票A"	"1.0777"	"1.49%"	"---"	"---"	"---"	"1.0619"	"1"
"001983"	"中邮低碳配置混合"	"0.7936"	"1.48%"	"---"	"---"	"---"	"0.7820"	"1"
"004235"	"中欧价值智选混合C"	"2.1949"	"1.48%"	"---"	"---"	"---"	"2.1630"	"0"
"002367"	"国联安安稳混合"	"1.0564"	"1.48%"	"---"	"---"	"---"	"1.0409"	"1"
"002983"	"长信国防军工量化混合"	"0.7777"	"1.48%"	"---"	"---"	"---"	"0.7664"	"1"
"210009"	"金鹰核心资源混合"	"0.9661"	"1.48%"	"---"	"---"	"---"	"0.9520"	"1"
"005668"	"融通新能源汽车主题精选混合"	"1.2490"	"1.48%"	"---"	"---"	"---"	"1.2308"	"1"
"006080"	"海富通电子传媒股票C"	"1.3979"	"1.48%"	"---"	"---"	"---"	"1.3776"	"1"
"007063"	"长盛研发回报混合"	"1.2473"	"1.48%"	"---"	"---"	"---"	"1.2291"	"1"
"690011"	"民生加银积极成长混合发起式"	"1.6956"	"1.47%"	"---"	"---"	"---"	"1.6710"	"1"
"519165"	"新华鑫利灵活配置混合"	"1.3637"	"1.47%"	"---"	"---"	"---"	"1.3440"	"1"
"166019"	"中欧价值智选混合A"	"2.2681"	"1.47%"	"---"	"---"	"---"	"2.2351"	"1"
"001887"	"中欧价值智选混合E"	"2.5032"	"1.47%"	"---"	"---"	"---"	"2.4668"	"0"
"000031"	"华夏复兴混合"	"2.0477"	"1.47%"	"---"	"---"	"---"	"2.0180"	"1"
"160640"	"鹏华新能源分级"	"1.1101"	"1.47%"	"---"	"---"	"---"	"1.0940"	"1"
"164821"	"工银中证新能源指数分级"	"0.8276"	"1.47%"	"---"	"---"	"---"	"0.8156"	"1"
"002191"	"农银物联网混合"	"1.3006"	"1.47%"	"---"	"---"	"---"	"1.2817"	"1"
"002407"	"前海开源恒远灵活配置混合"	"1.6204"	"1.47%"	"---"	"---"	"---"	"1.5969"	"1"
"001028"	"华安物联网主题股票"	"0.8666"	"1.47%"	"---"	"---"	"---"	"0.8540"	"1"
"001039"	"嘉实先进制造股票"	"1.0147"	"1.47%"	"---"	"---"	"---"	"1.0000"	"1"
"006081"	"海富通电子传媒股票A"	"1.4218"	"1.47%"	"---"	"---"	"---"	"1.4011"	"1"
"007460"	"华安成长创新混合"	"1.2608"	"1.47%"	"---"	"---"	"---"	"1.2426"	"1"
"163804"	"中银收益混合A"	"1.5164"	"1.46%"	"---"	"---"	"---"	"1.4945"	"1"
"161612"	"融通深证成份指数A"	"0.8969"	"1.46%"	"---"	"---"	"---"	"0.8840"	"1"
"160420"	"华安创业板50指数分级"	"1.1840"	"1.46%"	"---"	"---"	"---"	"1.1669"	"0"
"202017"	"南方深证成份ETF联接A"	"0.8582"	"1.46%"	"---"	"---"	"---"	"0.8458"	"1"
"160422"	"华安创业板50ETF联接A"	"1.2620"	"1.46%"	"---"	"---"	"---"	"1.2438"	"1"
"000431"	"鹏华品牌传承混合"	"1.7249"	"1.46%"	"---"	"---"	"---"	"1.7000"	"1"
"163109"	"申万菱信深证成指分级"	"0.5546"	"1.46%"	"---"	"---"	"---"	"0.5466"	"1"
"004345"	"南方深证成份ETF联接C"	"0.8500"	"1.46%"	"---"	"---"	"---"	"0.8377"	"1"
"004875"	"融通深证成份指数C"	"0.8837"	"1.46%"	"---"	"---"	"---"	"0.8710"	"1"
"003823"	"中信建投轮换混合C"	"1.2603"	"1.46%"	"---"	"---"	"---"	"1.2422"	"1"
"005311"	"万家经济新动能混合A"	"1.3493"	"1.46%"	"---"	"---"	"---"	"1.3298"	"1"
"160424"	"华安创业板50ETF联接C"	"1.2608"	"1.46%"	"---"	"---"	"---"	"1.2426"	"1"
"000039"	"农银高增长混合"	"2.0631"	"1.45%"	"---"	"---"	"---"	"2.0335"	"1"
"610006"	"信达澳银产业升级混合"	"1.3705"	"1.45%"	"---"	"---"	"---"	"1.3510"	"1"
"151001"	"银河稳健混合"	"1.5455"	"1.45%"	"---"	"---"	"---"	"1.5233"	"1"
"000924"	"宝盈先进制造混合A"	"1.5329"	"1.45%"	"---"	"---"	"---"	"1.5110"	"1"
"001242"	"博时中证淘金大数据100A"	"0.9404"	"1.45%"	"---"	"---"	"---"	"0.9269"	"1"
"001225"	"中邮趋势精选灵活配置混合"	"0.5032"	"1.45%"	"---"	"---"	"---"	"0.4960"	"1"
"001243"	"博时中证淘金大数据100I"	"0.9406"	"1.45%"	"---"	"---"	"---"	"0.9271"	"0"
"570007"	"诺德优选30混合"	"1.5004"	"1.45%"	"---"	"---"	"---"	"1.4790"	"1"
"003984"	"嘉实新能源新材料股票A"	"1.2855"	"1.45%"	"---"	"---"	"---"	"1.2672"	"1"
"003985"	"嘉实新能源新材料股票C"	"1.2763"	"1.45%"	"---"	"---"	"---"	"1.2581"	"1"
"004341"	"农银尖端科技混合"	"1.2208"	"1.45%"	"---"	"---"	"---"	"1.2034"	"1"
"166301"	"华商新趋势优选灵活配置混合"	"3.5465"	"1.45%"	"---"	"---"	"---"	"3.4960"	"1"
"001178"	"前海开源再融资股票"	"1.5339"	"1.45%"	"---"	"---"	"---"	"1.5120"	"1"
"040007"	"华安中小盘成长混合"	"1.8377"	"1.45%"	"---"	"---"	"---"	"1.8114"	"1"
"005275"	"中欧创新成长灵活配置混合A"	"1.2555"	"1.45%"	"---"	"---"	"---"	"1.2376"	"1"
"005395"	"泓德臻远回报混合"	"1.1794"	"1.45%"	"---"	"---"	"---"	"1.1625"	"1"
"005276"	"中欧创新成长灵活配置混合C"	"1.2391"	"1.45%"	"---"	"---"	"---"	"1.2214"	"1"
"003822"	"中信建投轮换混合A"	"1.2646"	"1.45%"	"---"	"---"	"---"	"1.2465"	"1"
"007579"	"宝盈先进制造混合C"	"1.5299"	"1.45%"	"---"	"---"	"---"	"1.5080"	"1"
"007343"	"嘉实科技创新混合"	"1.2244"	"1.45%"	"---"	"---"	"---"	"1.2069"	"0"
"180031"	"银华中小盘混合"	"2.4822"	"1.44%"	"---"	"---"	"---"	"2.4470"	"1"
"233006"	"大摩领先优势混合"	"2.0553"	"1.44%"	"---"	"---"	"---"	"2.0261"	"1"
"375010"	"上投摩根中国优势混合"	"1.2390"	"1.44%"	"---"	"---"	"---"	"1.2214"	"1"
"519773"	"交银数据产业灵活配置混合"	"1.2386"	"1.44%"	"---"	"---"	"---"	"1.2210"	"1"
"002345"	"华夏高端制造混合"	"0.7781"	"1.44%"	"---"	"---"	"---"	"0.7670"	"1"
"001463"	"光大一带一路混合"	"0.8673"	"1.44%"	"---"	"---"	"---"	"0.8550"	"1"
"501007"	"汇添富中证互联网医疗指数A"	"1.0031"	"1.44%"	"---"	"---"	"---"	"0.9888"	"1"
"501008"	"汇添富中证互联网医疗指数C"	"0.9960"	"1.44%"	"---"	"---"	"---"	"0.9818"	"1"
"001933"	"华商新兴活力混合"	"1.0449"	"1.44%"	"---"	"---"	"---"	"1.0300"	"1"
"005793"	"华富可转债债券"	"1.1547"	"1.44%"	"---"	"---"	"---"	"1.1383"	"1"
"005711"	"永赢惠添利灵活配置混合"	"1.6582"	"1.44%"	"---"	"---"	"---"	"1.6347"	"1"
"006551"	"中庚价值领航混合"	"1.2582"	"1.44%"	"---"	"---"	"---"	"1.2403"	"1"
"501071"	"泓德三年封闭丰泽混合"	"1.2488"	"1.44%"	"---"	"---"	"---"	"1.2311"	"0"
"000209"	"信诚新兴产业混合"	"1.3987"	"1.43%"	"---"	"---"	"---"	"1.3790"	"1"
"001070"	"建信信息产业股票"	"1.5042"	"1.43%"	"---"	"---"	"---"	"1.4830"	"1"
"519655"	"银河服务混合"	"1.1451"	"1.43%"	"---"	"---"	"---"	"1.1290"	"1"
"002560"	"诺安和鑫灵活配置混合"	"1.0902"	"1.43%"	"---"	"---"	"---"	"1.0748"	"1"
"164905"	"交银国证新能源指数分级"	"0.9738"	"1.43%"	"---"	"---"	"---"	"0.9600"	"0"
"519196"	"万家新兴蓝筹灵活配置混合"	"1.0416"	"1.43%"	"---"	"---"	"---"	"1.0269"	"1"
"001220"	"民生加银研究精选混合"	"0.9199"	"1.43%"	"---"	"---"	"---"	"0.9070"	"1"
"320014"	"诺安沪深300指数增强"	"1.1792"	"1.43%"	"---"	"---"	"---"	"1.1626"	"1"
"673110"	"西部利得新润混合"	"1.2283"	"1.43%"	"---"	"---"	"---"	"1.2110"	"1"
"005076"	"创金合信优选回报灵活配置混合"	"1.1064"	"1.43%"	"---"	"---"	"---"	"1.0908"	"1"
"006252"	"永赢消费主题A"	"1.6286"	"1.43%"	"---"	"---"	"---"	"1.6056"	"1"
"006253"	"永赢消费主题C"	"1.6238"	"1.43%"	"---"	"---"	"---"	"1.6008"	"1"
"007473"	"华夏创蓝筹ETF联接C"	"1.1449"	"1.43%"	"---"	"---"	"---"	"1.1287"	"1"
"007472"	"华夏创蓝筹ETF联接A"	"1.1470"	"1.43%"	"---"	"---"	"---"	"1.1308"	"1"
"290005"	"泰信优势增长混合"	"1.2779"	"1.42%"	"---"	"---"	"---"	"1.2600"	"1"
"161028"	"富国中证新能源汽车指数分级"	"1.1004"	"1.42%"	"---"	"---"	"---"	"1.0850"	"0"
"003299"	"嘉实物流产业股票C"	"1.4239"	"1.42%"	"---"	"---"	"---"	"1.4040"	"1"
"001956"	"国联安科技动力"	"1.2838"	"1.42%"	"---"	"---"	"---"	"1.2658"	"1"
"006487"	"广发中证1000指数C"	"1.1636"	"1.79%"	"---"	"---"	"---"	"1.1432"	"1"
"006166"	"建信中证1000指数增强C"	"1.2743"	"1.79%"	"---"	"---"	"---"	"1.2519"	"1"
"006165"	"建信中证1000指数增强A"	"1.2796"	"1.79%"	"---"	"---"	"---"	"1.2571"	"1"
"004890"	"中邮文娱灵活配置混合"	"1.2326"	"1.79%"	"---"	"---"	"---"	"1.2110"	"1"
"006281"	"万家人工智能混合"	"1.1793"	"1.79%"	"---"	"---"	"---"	"1.1585"	"1"
"000522"	"华润元大信息传媒科技混合"	"1.6204"	"1.78%"	"---"	"---"	"---"	"1.5920"	"1"
"000063"	"长盛电子信息主题灵活配置混合"	"1.5755"	"1.78%"	"---"	"---"	"---"	"1.5480"	"1"
"001730"	"兴银大健康"	"0.8244"	"1.78%"	"---"	"---"	"---"	"0.8100"	"1"
"001449"	"华商双驱优选混合"	"1.2366"	"1.78%"	"---"	"---"	"---"	"1.2150"	"1"
"377530"	"上投摩根行业轮动混合A"	"1.9877"	"1.78%"	"---"	"---"	"---"	"1.9530"	"1"
"006348"	"银华盛利混合发起式"	"1.3901"	"1.78%"	"---"	"---"	"---"	"1.3659"	"1"
"090015"	"大成内需增长混合A"	"3.0540"	"1.77%"	"---"	"---"	"---"	"3.0010"	"1"
"110029"	"易方达科讯混合"	"1.2137"	"1.77%"	"---"	"---"	"---"	"1.1926"	"1"
"161033"	"富国中证智能汽车(LOF)"	"1.2426"	"1.77%"	"---"	"---"	"---"	"1.2210"	"1"
"270026"	"广发中小板300联接"	"1.0569"	"1.77%"	"---"	"---"	"---"	"1.0385"	"1"
"005310"	"广发电子信息传媒股票"	"1.1386"	"1.77%"	"---"	"---"	"---"	"1.1188"	"1"
"001294"	"新华战略新兴产业灵活配置混合"	"0.6584"	"1.76%"	"---"	"---"	"---"	"0.6470"	"1"
"004636"	"中信建投智信物联网C"	"1.3880"	"1.75%"	"---"	"---"	"---"	"1.3641"	"1"
"005300"	"万家成长优选混合C"	"1.2168"	"1.75%"	"---"	"---"	"---"	"1.1959"	"1"
"005566"	"创金合信国证2000指数C"	"0.9429"	"1.75%"	"---"	"---"	"---"	"0.9267"	"1"
"001704"	"国投瑞银进宝灵活配置混合"	"1.4007"	"1.75%"	"---"	"---"	"---"	"1.3766"	"1"
"005565"	"创金合信国证2000指数A"	"0.9453"	"1.75%"	"---"	"---"	"---"	"0.9291"	"1"
"001809"	"中信建投智信物联网A"	"1.3367"	"1.75%"	"---"	"---"	"---"	"1.3137"	"1"
"000004"	"中海可转债债券C"	"0.7762"	"1.74%"	"---"	"---"	"---"	"0.7630"	"1"
"001970"	"泰信鑫选灵活配置混合A"	"1.0581"	"1.74%"	"---"	"---"	"---"	"1.0400"	"1"
"000003"	"中海可转债债券A"	"0.7752"	"1.74%"	"---"	"---"	"---"	"0.7620"	"1"
"005299"	"万家成长优选混合A"	"1.2292"	"1.74%"	"---"	"---"	"---"	"1.2081"	"1"
"006133"	"万家智造优势混合C"	"1.4245"	"1.74%"	"---"	"---"	"---"	"1.4002"	"1"
"501062"	"南方瑞合定开混合(LOF)"	"1.0954"	"1.74%"	"---"	"---"	"---"	"1.0767"	"0"
"165511"	"信诚中证500指数分级"	"1.1160"	"1.73%"	"---"	"---"	"---"	"1.0970"	"1"
"660011"	"农银中证500指数"	"1.3142"	"1.73%"	"---"	"---"	"---"	"1.2919"	"1"
"090017"	"大成可转债增强债券"	"1.1241"	"1.73%"	"---"	"---"	"---"	"1.1050"	"1"
"000008"	"嘉实中证500ETF联接A"	"1.3979"	"1.73%"	"---"	"---"	"---"	"1.3741"	"1"
"160616"	"鹏华中证500指数(LOF)A"	"1.1699"	"1.73%"	"---"	"---"	"---"	"1.1500"	"1"
"162711"	"广发中证500ETF联接A"	"1.1307"	"1.73%"	"---"	"---"	"---"	"1.1115"	"1"
"000478"	"建信中证500指数增强A"	"2.0360"	"1.73%"	"---"	"---"	"---"	"2.0014"	"1"
"000962"	"天弘中证500指数A"	"0.8911"	"1.73%"	"---"	"---"	"---"	"0.8760"	"1"
"006783"	"红土创新中证500增强A"	"1.0458"	"1.73%"	"---"	"---"	"---"	"1.0280"	"1"
"001455"	"景顺长城中证500ETF联接"	"0.7162"	"1.73%"	"---"	"---"	"---"	"0.7040"	"1"
"001351"	"诺安中证500指数增强"	"0.7130"	"1.73%"	"---"	"---"	"---"	"0.7009"	"1"
"001702"	"东方创新科技混合"	"1.0423"	"1.73%"	"---"	"---"	"---"	"1.0246"	"1"
"001556"	"天弘中证500指数增强A"	"0.8165"	"1.73%"	"---"	"---"	"---"	"0.8026"	"1"
"161017"	"富国中证500指数(LOF)"	"1.6785"	"1.73%"	"---"	"---"	"---"	"1.6500"	"1"
"001606"	"农银工业4.0混合"	"1.3141"	"1.73%"	"---"	"---"	"---"	"1.2918"	"1"
"164809"	"工银中证500指数"	"1.0872"	"1.73%"	"---"	"---"	"---"	"1.0687"	"1"
"002076"	"浙商中证500指数增强A"	"0.9713"	"1.73%"	"---"	"---"	"---"	"0.9548"	"1"
"002510"	"申万菱信中证500指数增强A"	"1.1275"	"1.73%"	"---"	"---"	"---"	"1.1083"	"1"
"002903"	"广发中证500ETF联接C"	"0.9034"	"1.73%"	"---"	"---"	"---"	"0.8880"	"1"
"003016"	"中金中证500A"	"1.0674"	"1.73%"	"---"	"---"	"---"	"1.0493"	"1"
"002907"	"南方中证500量化增强C"	"0.9339"	"1.73%"	"---"	"---"	"---"	"0.9180"	"1"
"002311"	"创金合信中证500指数增强A"	"0.9822"	"1.73%"	"---"	"---"	"---"	"0.9655"	"1"
"001052"	"华夏中证500ETF联接A"	"0.5738"	"1.73%"	"---"	"---"	"---"	"0.5640"	"1"
"002906"	"南方中证500量化增强A"	"0.9400"	"1.73%"	"---"	"---"	"---"	"0.9240"	"1"
"003578"	"中金中证500C"	"1.0695"	"1.73%"	"---"	"---"	"---"	"1.0513"	"1"
"001557"	"天弘中证500指数增强C"	"0.8048"	"1.73%"	"---"	"---"	"---"	"0.7911"	"1"
"004348"	"南方中证500ETF联接C"	"1.3132"	"1.73%"	"---"	"---"	"---"	"1.2909"	"1"
"003986"	"申万菱信中证500指数优选增强A"	"1.2414"	"1.73%"	"---"	"---"	"---"	"1.2203"	"1"
"003761"	"国泰中证500指数增强C"	"1.0411"	"1.73%"	"---"	"---"	"---"	"1.0234"	"1"
"160119"	"南方中证500ETF联接A"	"1.3216"	"1.73%"	"---"	"---"	"---"	"1.2991"	"1"
"001241"	"国寿安保中证500ETF联接"	"0.5090"	"1.73%"	"---"	"---"	"---"	"0.5003"	"1"
"161037"	"富国中证高端制造指数增强型"	"1.2520"	"1.73%"	"---"	"---"	"---"	"1.2307"	"1"
"004193"	"招商中证500指数C"	"0.9586"	"1.73%"	"---"	"---"	"---"	"0.9423"	"1"
"003760"	"国泰中证500指数增强A"	"1.0548"	"1.73%"	"---"	"---"	"---"	"1.0369"	"1"
"004192"	"招商中证500指数A"	"0.9604"	"1.73%"	"---"	"---"	"---"	"0.9441"	"1"
"005062"	"博时中证500指数增强A"	"1.0143"	"1.73%"	"---"	"---"	"---"	"0.9971"	"1"
"501037"	"汇添富中证500C"	"0.8321"	"1.73%"	"---"	"---"	"---"	"0.8180"	"1"
"501036"	"汇添富中证500A"	"0.8361"	"1.73%"	"---"	"---"	"---"	"0.8219"	"1"
"004791"	"富荣中证500指数C"	"1.0107"	"1.73%"	"---"	"---"	"---"	"0.9935"	"1"
"004945"	"长信中证500指数增强"	"0.9785"	"1.73%"	"---"	"---"	"---"	"0.9619"	"1"
"001214"	"华泰柏瑞中证500ETF联接A"	"0.5681"	"1.73%"	"---"	"---"	"---"	"0.5584"	"1"
"006214"	"平安500ETF联接A"	"1.0962"	"1.73%"	"---"	"---"	"---"	"1.0776"	"1"
"005919"	"天弘中证500指数C"	"0.9104"	"1.73%"	"---"	"---"	"---"	"0.8949"	"1"
"005994"	"国投中证500指数量化增强A"	"1.3093"	"1.73%"	"---"	"---"	"---"	"1.2870"	"1"
"005608"	"华宝中证500增强C"	"0.9293"	"1.73%"	"---"	"---"	"---"	"0.9135"	"1"
"005607"	"华宝中证500增强A"	"0.9354"	"1.73%"	"---"	"---"	"---"	"0.9195"	"1"
"005633"	"建信中证500指数增强C"	"2.0174"	"1.73%"	"---"	"---"	"---"	"1.9831"	"1"
"006215"	"平安500ETF联接C"	"1.0949"	"1.73%"	"---"	"---"	"---"	"1.0763"	"1"
"005965"	"安信中证500指数增强A"	"1.2883"	"1.73%"	"---"	"---"	"---"	"1.2664"	"1"
"070039"	"嘉实中证500ETF联接C"	"1.1041"	"1.73%"	"---"	"---"	"---"	"1.0853"	"1"
"005795"	"博时中证500指数增强C"	"1.0077"	"1.73%"	"---"	"---"	"---"	"0.9906"	"1"
"006382"	"华夏中证500ETF联接C"	"0.5717"	"1.73%"	"---"	"---"	"---"	"0.5620"	"0"
"005966"	"安信中证500指数增强C"	"1.2829"	"1.73%"	"---"	"---"	"---"	"1.2611"	"1"
"006087"	"华泰柏瑞中证500ETF联接C"	"0.5724"	"1.73%"	"---"	"---"	"---"	"0.5627"	"1"
"006132"	"万家智造优势混合A"	"1.4460"	"1.73%"	"---"	"---"	"---"	"1.4214"	"1"
"006751"	"富国互联科技股票"	"1.4320"	"1.73%"	"---"	"---"	"---"	"1.4076"	"1"
"006593"	"博道中证500增强A"	"1.1655"	"1.73%"	"---"	"---"	"---"	"1.1457"	"1"
"004790"	"富荣中证500指数A"	"1.0125"	"1.73%"	"---"	"---"	"---"	"0.9953"	"1"
"006682"	"景顺长城中证500增强"	"0.9833"	"1.73%"	"---"	"---"	"---"	"0.9666"	"1"
"006784"	"红土创新中证500增强C"	"1.0436"	"1.73%"	"---"	"---"	"---"	"1.0259"	"1"
"007028"	"易方达中证500ETF联接A"	"1.0215"	"1.73%"	"---"	"---"	"---"	"1.0041"	"1"
"006594"	"博道中证500增强C"	"1.1622"	"1.73%"	"---"	"---"	"---"	"1.1424"	"1"
"007089"	"国投中证500指数量化增强C"	"1.3052"	"1.73%"	"---"	"---"	"---"	"1.2830"	"1"
"006657"	"方正富邦中证500ETF联接C"	"0.9857"	"1.73%"	"---"	"---"	"---"	"0.9689"	"1"
"006656"	"方正富邦中证500ETF联接A"	"0.9899"	"1.73%"	"---"	"---"	"---"	"0.9731"	"1"
"002316"	"创金合信中证500指数增强C"	"0.9845"	"1.73%"	"---"	"---"	"---"	"0.9678"	"1"
"006611"	"人保中证500指数"	"1.1866"	"1.73%"	"---"	"---"	"---"	"1.1664"	"1"
